
2023-07-06 12:06:55 python3.10 04_nn.py is not running
2023-07-06 12:06:56 python3.10 04_nn.py is not running
2023-07-06 12:06:57 python3.10 04_nn.py is not running
2023-07-06 12:06:58 python3.10 04_nn.py is not running
2023-07-06 12:06:59 python3.10 04_nn.py is not running
2023-07-06 12:07:00 python3.10 04_nn.py is not running
2023-07-06 12:07:01 python3.10 04_nn.py is not running
2023-07-06 12:07:02 python3.10 04_nn.py is not running
2023-07-06 12:07:03 python3.10 04_nn.py is not running
2023-07-06 12:07:04 python3.10 04_nn.py is not running
2023-07-06 12:07:05 python3.10 04_nn.py is not running
2023-07-06 12:07:06 python3.10 04_nn.py is not running
2023-07-06 12:07:08 python3.10 04_nn.py is not running
2023-07-06 12:12:15 python3.10 04_nn.py is not running
2023-07-06 12:12:16 python3.10 04_nn.py is not running
2023-07-06 12:12:17 python3.10 04_nn.py is not running
2023-07-06 12:12:19 python3.10 04_nn.py is not running
2023-07-06 12:12:20 python3.10 04_nn.py is not running
2023-07-06 12:12:21 python3.10 04_nn.py is not running
2023-07-06 12:12:22 python3.10 04_nn.py is not running
2023-07-06 12:12:23 python3.10 04_nn.py is not running
2023-07-06 12:12:24 python3.10 04_nn.py is not running
2023-07-06 12:12:25 python3.10 04_nn.py is not running
2023-07-06 12:12:26 python3.10 04_nn.py is not running
2023-07-06 12:12:27 python3.10 04_nn.py is not running
2023-07-06 12:12:28 python3.10 04_nn.py is not running
2023-07-06 12:12:29 python3.10 04_nn.py is not running
2023-07-06 12:12:30 python3.10 04_nn.py is not running
2023-07-06 12:12:31 python3.10 04_nn.py is not running
2023-07-06 12:12:32 python3.10 04_nn.py is not running
2023-07-06 12:12:33 python3.10 04_nn.py is not running
2023-07-06 12:12:34 python3.10 04_nn.py is not running
2023-07-06 12:12:35 python3.10 04_nn.py is not running
2023-07-06 12:12:36 python3.10 04_nn.py is not running
2023-07-06 12:12:37 python3.10 04_nn.py is not running
2023-07-06 12:12:38 python3.10 04_nn.py is not running
2023-07-06 12:12:39 python3.10 04_nn.py is not running
2023-07-06 12:12:40 python3.10 04_nn.py is not running
2023-07-06 12:12:42 python3.10 04_nn.py is not running
2023-07-06 12:12:43 python3.10 04_nn.py is not running
2023-07-06 12:12:44 python3.10 04_nn.py is not running
2023-07-06 12:12:45 python3.10 04_nn.py is not running
2023-07-06 12:12:46 python3.10 04_nn.py is not running
